TRANSACTION_DATE,TRANSACTION_TYPE,EXPENSE,AMOUNT,CURRENCY
02.06.2018,debit,gas,-58,EUR
02.06.2018,debit,gas station,-27.05,EUR
02.06.2018,debit,loan,-149.1,EUR
02.06.2018,debit,health insurance,-390,EUR
02.06.2018,debit,loan,-350.56,EUR
02.06.2018,debit,health insurance,-45,EUR
02.06.2018,debit,public transportation ,-87.2,EUR
02.06.2018,debit,paypal,-47.04,EUR
02.06.2018,debit,paypal,-1.99,EUR
02.06.2018,debit,paypal,-20.98,EUR
01.06.2018,debit,electricity,-40,EUR
01.06.2018,debit,paypal,-4.76,EUR
29.05.2018,debit,gas station,-41.54,USD
29.05.2018,Cash Deposit/Withdrawal,cash withdrawal,-80,EUR
29.05.2018,debit,credit card,-1228.75,USD
29.05.2018,debit,paypal,-22.61,EUR
28.05.2018,debit,telephone,-57.04,EUR
28.05.2018,debit,spotify,-9.99,EUR
28.05.2018,debit,paypal,-51.99,EUR
27.05.2018,debit,gas station,-40.34,USD
27.05.2018,debit,takeaway food,-25.57,USD
27.05.2018,debit,takeaway food,-26.5,USD
27.05.2018,debit,paypal,-54.25,EUR
26.05.2018,credit,income,5828.03,EUR
26.05.2018,debit,paypal,-79,EUR
26.05.2018,debit,paypal,-28.66,EUR
26.05.2018,debit,paypal,-9.99,EUR
25.05.2018,debit,supermarket,-5.06,USD
18.05.2018,Cash Deposit/Withdrawal,cash withdrawal,-80,USD
18.05.2018,debit,gas station,-19,USD
18.05.2018,debit,takeaway food,-15.5,EUR
18.05.2018,debit,online learning,-29.49,EUR
18.05.2018,debit,takeaway food,-25.47,EUR
18.05.2018,debit,internet,-39.9,EUR
15.05.2018,debit,takeaway food,-32.7,EUR
14.05.2018,debit,takeaway food,-12.5,EUR
13.05.2018,transfer,money transfer,-40,EUR
13.05.2018,debit,gas station,-42.23,EUR
12.05.2018,debit,takeaway food,-22.65,EUR
12.05.2018,debit,online learning,-369,EUR
12.05.2018,debit,netflix,-11.99,EUR
12.05.2018,debit,takeaway food,-23.3,EUR
12.05.2018,debit,paypal,-9.99,EUR
12.05.2018,debit,paypal,-24.99,EUR
12.05.2018,debit,takeaway food,-29.29,EUR
11.05.2018,debit,takeaway food,-20.95,EUR
11.05.2018,debit,takeaway food,-16.5,EUR
06.05.2018,debit,takeaway food,-23.3,EUR
05.05.2018,debit,gas station,-34.45,EUR
05.05.2018,debit,paypal,-18.27,EUR
05.05.2018,debit,gym,-15,EUR
05.05.2018,debit,car rate,-350,EUR
05.05.2018,debit,takeaway food,-27.2,EUR
05.05.2018,debit,takeaway food,-19.55,EUR
05.05.2018,debit,takeaway food,-23.92,EUR
05.05.2018,debit,takeaway food,-20.1,EUR
05.05.2018,debit,paypal,-20.99,EUR
05.05.2018,debit,paypal,-21.63,EUR
04.05.2018,transfer,rent,-1490,EUR
04.05.2018,debit,paypal,-1.99,EUR
04.05.2018,debit,credit card,-72.24,EUR
04.05.2018,debit,car insurance,-158.35,EUR
04.05.2018,debit,gas,-58,EUR
04.05.2018,debit,health insurance,-45,EUR
04.05.2018,debit,loan,-149.1,EUR
